param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,mean_test_score,std_test_score,rank_test_score
800,10,10,2,sqrt,True,0.8068614910138967,0.04610408402036885,72
300,30,2,1,sqrt,True,0.8068422582441453,0.041528520398181466,73
300,,2,1,sqrt,True,0.8068422582441453,0.041528520398181466,73
800,10,10,1,0.5,True,0.8068274680422716,0.04189795408769829,75
800,20,5,1,log2,True,0.8067863345143464,0.04430119435300209,76
500,10,10,1,0.5,True,0.8067645377832443,0.043392648688776424,77
500,20,5,2,log2,True,0.8067580636278524,0.04525057379611455,78
500,30,5,2,log2,True,0.8067580636278524,0.04525057379611455,78
500,,5,2,log2,True,0.8067580636278524,0.04525057379611455,78
800,10,10,4,sqrt,True,0.8067553956394299,0.04611243717501077,81
800,,5,1,log2,True,0.8067526052662174,0.044384508392153306,82
800,30,5,1,log2,True,0.8067526052662174,0.044384508392153306,82
500,10,5,2,log2,True,0.8067454212790434,0.04568243886660052,84
500,30,2,1,sqrt,True,0.8067369644900533,0.042640435974126596,85
500,,2,1,sqrt,True,0.8067369644900533,0.042640435974126596,85
500,10,5,1,0.5,True,0.8067238326020842,0.042202465410257274,87
800,30,10,4,sqrt,True,0.8067174930699613,0.04516454580601982,88
800,20,10,4,sqrt,True,0.8067174930699613,0.04516454580601982,88
800,,10,4,sqrt,True,0.8067174930699613,0.04516454580601982,88
500,20,2,1,sqrt,True,0.8067017972206415,0.04265368361852594,91
200,10,10,1,0.5,True,0.8066758822413551,0.044164985872555865,92
300,,5,1,sqrt,True,0.8066741566158159,0.043851619763932516,93
300,30,5,1,sqrt,True,0.8066741566158159,0.043851619763932516,93
800,10,10,2,log2,True,0.8066476480702978,0.043666871012411214,95
300,20,5,1,sqrt,True,0.8066039811772192,0.04372533559734223,96
500,10,5,2,sqrt,True,0.8065932847465718,0.04337880948706488,97
500,,2,2,sqrt,True,0.8065727363403277,0.04323565187680138,98
500,20,2,2,sqrt,True,0.8065727363403277,0.04323565187680138,98
500,30,2,2,sqrt,True,0.8065727363403277,0.04323565187680138,98
200,,10,1,0.5,True,0.8065380280138784,0.04526440336241377,101
200,20,10,1,0.5,True,0.8065380280138784,0.04526440336241377,101
200,30,10,1,0.5,True,0.8065380280138784,0.04526440336241377,101
300,10,5,2,sqrt,True,0.8064868344562137,0.04203412559068872,104
500,30,5,1,0.5,True,0.8064145662377079,0.041830655126163234,105
500,,5,1,0.5,True,0.8064145662377079,0.041830655126163234,105
800,20,10,1,0.5,True,0.8064114821409994,0.04308668853704418,107
500,20,10,1,0.5,True,0.8064100747159143,0.042571046189902415,108
300,20,10,1,log2,True,0.8064060849717597,0.046108159378249705,109
800,10,5,1,sqrt,True,0.806388375892644,0.04357770988112836,110
800,,10,1,0.5,True,0.8063763944217012,0.043075678444799974,111
800,30,10,1,0.5,True,0.8063763944217012,0.043075678444799974,111
300,10,5,1,log2,True,0.80636096169968,0.04197880243821308,113
500,10,2,1,0.5,True,0.806340584632142,0.04133324567189666,114
500,30,10,1,0.5,True,0.8063398992773176,0.04254944841074613,115
500,,10,1,0.5,True,0.8063398992773176,0.04254944841074613,115
300,,10,1,log2,True,0.806300821813865,0.04591981674914007,117
300,30,10,1,log2,True,0.806300821813865,0.04591981674914007,117
800,20,2,1,log2,False,0.8062788047901407,0.041132236913990976,119
500,20,5,1,0.5,True,0.8062753657775412,0.041893813938846496,120
200,10,5,2,sqrt,True,0.8062753413005831,0.04215442088997366,121
300,10,5,1,0.5,True,0.8062703480011504,0.042823925829524094,122
500,,5,2,sqrt,True,0.8062687447604011,0.04096596926203459,123
500,30,5,2,sqrt,True,0.8062687447604011,0.04096596926203459,123
500,20,5,2,sqrt,True,0.8062687447604011,0.04096596926203455,123
200,30,5,2,sqrt,True,0.8062454304579028,0.042829390375455516,126
200,,5,2,sqrt,True,0.8062454304579028,0.042829390375455516,126
800,30,10,2,log2,True,0.8062299365434864,0.045471593162384034,128
800,,10,2,log2,True,0.8062299365434864,0.045471593162384034,128
800,20,10,2,log2,True,0.8062299365434864,0.045471593162384034,128
800,10,10,1,log2,True,0.8062264852924079,0.0451856163185122,131
800,10,2,1,log2,True,0.8062108567547226,0.041061272352387886,132
200,20,5,2,sqrt,True,0.8062103427386045,0.042765527820059705,133
300,10,2,1,log2,True,0.8060742875675411,0.04175013275074077,134
800,10,2,1,sqrt,True,0.8060526866521028,0.04311305235302806,135
500,10,10,2,log2,True,0.8060157509224753,0.04301152795225749,136
200,30,10,1,log2,False,0.8059983722822928,0.0433816417832404,137
200,,10,1,log2,False,0.8059983722822928,0.0433816417832404,137
500,30,10,2,sqrt,True,0.8059861215648118,0.046360892312396006,139
500,,10,2,sqrt,True,0.8059861215648118,0.046360892312396006,139
500,20,10,2,sqrt,True,0.8059861215648118,0.046360892312396006,139
300,10,10,2,log2,True,0.8059733323542548,0.04270813621575451,142
300,10,5,2,0.5,True,0.8059655976355259,0.04206025943452635,143
200,20,10,1,log2,False,0.8059638597715075,0.043816967701980375,144
800,10,2,1,log2,False,0.8059295920303023,0.04155434528511176,145
800,,2,1,log2,False,0.8059282090821753,0.04115668569754305,146
800,30,2,1,log2,False,0.8059282090821753,0.04115668569754305,146
800,20,5,2,log2,True,0.8059190424614029,0.04513812180352201,148
300,,5,1,log2,True,0.8058934885172471,0.047749203761009176,149
300,30,5,1,log2,True,0.8058934885172471,0.047749203761009176,149
800,,5,2,log2,True,0.8058839547421046,0.04514495896143731,151
800,30,5,2,log2,True,0.8058839547421046,0.04514495896143731,151
500,20,2,1,log2,True,0.8058721690868259,0.042199867038516595,153
500,30,2,1,log2,True,0.8058721690868259,0.04223916100079695,153
500,,2,1,log2,True,0.8058721690868259,0.04223916100079695,153
500,30,2,1,0.5,True,0.8058694705022061,0.0417863881276741,156
500,,2,1,0.5,True,0.8058694705022061,0.0417863881276741,156
300,20,5,1,log2,True,0.8058595512149749,0.04781505920485228,158
